FirstAuthor,count
Joseph,28
Johansen,28
Louis,28
Ishihara,28
Greer,28
Koyama,28
Sano,28
Pfeiffer,28
Nakazawa,28
Hutchinson,28
Margolis,28
McKenzie,28
Wyatt,27
Ackerman,27
Silverstein,27
Ogata,27
Kang,27
Tillis,27
Kuroda,27
Banks,27
Weinberger,27
Ong,27
Carey,27
Chiang,27
Chien,27
Ogura,27
Roos,27
Lipton,27
Morin,27
Lees,27
Schulze,27
Calnan,27
Donnelly,27
Patrick,27
Mertz,27
Schumann,27
Hsieh,27
Maruyama,27
Heilmann,27
Garner,27
Förster,27
Costall,27
Gillespie,27
Gustafsson,27
Horiuchi,27
Miles,27
Rosenfeld,27
Bonnet,27
Dutta,27
Short,27
Ando,27
Kurtz,27
Johns,27
Schuster,27
Rudolph,27
Horne,27
Drummond,27
Nakai,27
Busse,27
Burrows,27
Murata,27
Franz,27
Elias,27
Conway,26
Girard,26
Yamamura,26
Godeau,26
Norton,26
Joshi,26
Parks,26
Lyons,26
Aronson,26
Baer,26
Sedlácek,26
Dick,26
Cullen,26
Furukawa,26
Albrecht,26
Daly,26
Srinivasan,26
Golden,26
John,26
Lehman,26
Oka,26
Bartoli,26
Oda,26
Morgon,26
Jennings,26
Witte,26
Górski,26
Denis,26
Graves,26
Nishiyama,26
Roux,26
Spence,26
Pollard,26
Sandler,26
Fitzpatrick,26
Farber,26
Vogt,26
Koenig,26
Karlsson,26
Powers,26
Taub,26
McMillan,26
Hadley,26
Subramanian,25
Fiala,25
Munro,25
McGuire,25
Doerr,25
Koizumi,25
Rodgers,25
Parish,25
Britton,25
Zimmer,25
Bass,25
Prince,25
Tomita,25
Cain,25
Cramer,25
Holm,25
Bradshaw,25
Krüger,25
Austin,25
Donovan,25
Guy,25
Rudzki,25
Gallo,25
Frankel,25
Charles,25
Torres,25
Brody,25
Nowak,25
Frick,25
Richard,25
Wenzel,25
Busch,25
Burch,25
Moreno,25
Salerno,25
Pinto,25
Macdonald,25
Kucera,25
Bates,25
Hassan,25
Taguchi,25
Zinkernagel,25
Kiselev,25
Archer,25
Gloor,25
Smyth,25
Tung,25
Owens,25
Tóth,25
Sims,25
Forbes,25
Murthy,25
Geiger,25
Krebs,25
De Clercq,25
Ferrer,25
Nakashima,24
Sakurai,24
Urban,24
Eaton,24
Keith,24
Miyoshi,24
Allan,24
Volkov,24
Colpaert,24
Pickering,24
Levitt,24
Nathan,24
Takano,24
Fritz,24
Christie,24
Proctor,24
Puşcaş,24
Desai,24
Samuels,24
Irvine,24
Redman,24
Mueller,24
Talbot,24
Liang,24
Takayama,24
Schäfer,24
Bourne,24
Metcalf,24
Perez,24
Loh,24
Shin,24
Reimann,24
Forrester,24
Heine,24
Sawyer,24
Lenz,24
Albers,24
Stahl,24
Bacon,24
Ballantyne,24
Cummings,24
Mendelson,24
Waldman,24
Cooley,24
Bruce,24
Strong,24
Townsend,24
McNamara,24
von Ardenne,24
Weil,24
Zuckerman,24
Carney,24
Maynard,24
Dennis,24
Kagawa,24
Kovacs,24
Rastogi,24
McBride,24
Johnstone,24
Möller,24
Callahan,24
Kao,24
Fung,23
Yen,23
Axelsson,23
Favre,23
Yano,23
Baba,23
Lowry,23
Dent,23
Su,23
Mayr,23
Schlegel,23
Floyd,23
Sacks,23
Clavé,23
Ide,23
Curry,23
Bresler,23
Kleinman,23
Biswas,23
Shoji,23
Yoshimura,23
Hodgson,23
Hwang,23
Conroy,23
Nagasawa,23
London,23
